Meat_Type,Year,Measure,Value,Country
SHEEP,1990,THND_TONNE,602.873,India
SHEEP,1991,THND_TONNE,611.178,India
SHEEP,1992,THND_TONNE,619.043,India
SHEEP,1993,THND_TONNE,624.178,India
SHEEP,1994,THND_TONNE,626.0,India
SHEEP,1995,THND_TONNE,654.64,India
SHEEP,1996,THND_TONNE,663.126,India
SHEEP,1997,THND_TONNE,672.931,India
SHEEP,1998,THND_TONNE,678.951,India
SHEEP,1999,THND_TONNE,681.613,India
SHEEP,2000,THND_TONNE,677.903,India
SHEEP,2001,THND_TONNE,689.71,India
SHEEP,2002,THND_TONNE,692.029,India
SHEEP,2003,THND_TONNE,686.235,India
SHEEP,2004,THND_TONNE,715.233,India
SHEEP,2005,THND_TONNE,741.193,India
SHEEP,2006,THND_TONNE,766.721,India
SHEEP,2007,THND_TONNE,791.771,India
SHEEP,2008,THND_TONNE,772.583,India
SHEEP,2009,THND_TONNE,715.045,India
SHEEP,2010,THND_TONNE,759.717,India
SHEEP,2011,THND_TONNE,753.881,India
SHEEP,2012,THND_TONNE,743.068,India
SHEEP,2013,THND_TONNE,726.758,India
SHEEP,2014,THND_TONNE,717.47,India
SHEEP,2015,THND_TONNE,708.951,India
SHEEP,2016,THND_TONNE,722.37,India
SHEEP,2017,THND_TONNE,711.407,India
SHEEP,2018,THND_TONNE,713.248,India
SHEEP,2019,THND_TONNE,712.85,India
SHEEP,2020,THND_TONNE,720.496,India
SHEEP,2021,THND_TONNE,728.225,India
SHEEP,2022,THND_TONNE,735.714,India
SHEEP,2023,THND_TONNE,743.3,India
SHEEP,2024,THND_TONNE,750.91,India
SHEEP,2025,THND_TONNE,758.553,India
SHEEP,2026,THND_TONNE,766.116,India
SHEEP,2027,THND_TONNE,773.715,India
SHEEP,2028,THND_TONNE,781.307,India
SHEEP,2029,THND_TONNE,788.879,India
POULTRY,1990,THND_TONNE,391.342,India
POULTRY,1991,THND_TONNE,522.365,India
POULTRY,1992,THND_TONNE,540.181,India
POULTRY,1993,THND_TONNE,608.148,India
POULTRY,1994,THND_TONNE,625.0,India
POULTRY,1995,THND_TONNE,641.823,India
POULTRY,1996,THND_TONNE,659.871,India
POULTRY,1997,THND_TONNE,664.556,India
POULTRY,1998,THND_TONNE,737.949,India
POULTRY,1999,THND_TONNE,810.041,India
POULTRY,2000,THND_TONNE,903.782,India
POULTRY,2001,THND_TONNE,962.917,India
POULTRY,2002,THND_TONNE,1126.755,India
POULTRY,2003,THND_TONNE,1242.1,India
POULTRY,2004,THND_TONNE,1340.202,India
POULTRY,2005,THND_TONNE,1439.783,India
POULTRY,2006,THND_TONNE,1554.199,India
POULTRY,2007,THND_TONNE,1789.784,India
POULTRY,2008,THND_TONNE,1916.97,India
POULTRY,2009,THND_TONNE,2119.686,India
POULTRY,2010,THND_TONNE,2222.015,India
POULTRY,2011,THND_TONNE,2505.201,India
POULTRY,2012,THND_TONNE,2707.058,India
POULTRY,2013,THND_TONNE,2872.854,India
POULTRY,2014,THND_TONNE,3064.955,India
POULTRY,2015,THND_TONNE,3283.691,India
POULTRY,2016,THND_TONNE,3428.045,India
POULTRY,2017,THND_TONNE,3540.624,India
POULTRY,2018,THND_TONNE,3700.344,India
POULTRY,2019,THND_TONNE,3737.32,India
POULTRY,2020,THND_TONNE,3955.651,India
POULTRY,2021,THND_TONNE,4107.122,India
POULTRY,2022,THND_TONNE,4253.738,India
POULTRY,2023,THND_TONNE,4407.237,India
POULTRY,2024,THND_TONNE,4554.686,India
POULTRY,2025,THND_TONNE,4716.754,India
POULTRY,2026,THND_TONNE,4883.321,India
POULTRY,2027,THND_TONNE,5052.014,India
POULTRY,2028,THND_TONNE,5222.719,India
POULTRY,2029,THND_TONNE,5395.09,India
POULTRY,1990,THND_TONNE,0.0,Russia
POULTRY,1991,THND_TONNE,0.0,Russia
POULTRY,1992,THND_TONNE,1484.034,Russia
POULTRY,1993,THND_TONNE,1455.22,Russia
POULTRY,1994,THND_TONNE,1767.4,Russia
POULTRY,1995,THND_TONNE,1829.7,Russia
POULTRY,1996,THND_TONNE,1943.316,Russia
POULTRY,1997,THND_TONNE,2082.973,Russia
POULTRY,1998,THND_TONNE,1896.369,Russia
POULTRY,1999,THND_TONNE,1888.57,Russia
POULTRY,2000,THND_TONNE,1464.899,Russia
POULTRY,2001,THND_TONNE,2153.506,Russia
POULTRY,2002,THND_TONNE,2337.123,Russia
POULTRY,2003,THND_TONNE,2319.246,Russia
POULTRY,2004,THND_TONNE,2355.54,Russia
POULTRY,2005,THND_TONNE,2776.843,Russia
POULTRY,2006,THND_TONNE,2951.226,Russia
POULTRY,2007,THND_TONNE,3265.123,Russia
POULTRY,2008,THND_TONNE,3479.081,Russia
POULTRY,2009,THND_TONNE,3551.915,Russia
POULTRY,2010,THND_TONNE,3561.354,Russia
POULTRY,2011,THND_TONNE,3709.108,Russia
POULTRY,2012,THND_TONNE,4225.121,Russia
POULTRY,2013,THND_TONNE,4369.633,Russia
POULTRY,2014,THND_TONNE,4563.635,Russia
POULTRY,2015,THND_TONNE,4776.608,Russia
POULTRY,2016,THND_TONNE,4759.522,Russia
POULTRY,2017,THND_TONNE,5034.422,Russia
POULTRY,2018,THND_TONNE,5039.197,Russia
POULTRY,2019,THND_TONNE,5076.07,Russia
POULTRY,2020,THND_TONNE,5110.342,Russia
POULTRY,2021,THND_TONNE,5122.296,Russia
POULTRY,2022,THND_TONNE,5144.241,Russia
POULTRY,2023,THND_TONNE,5161.844,Russia
POULTRY,2024,THND_TONNE,5181.776,Russia
POULTRY,2025,THND_TONNE,5200.072,Russia
POULTRY,2026,THND_TONNE,5217.933,Russia
POULTRY,2027,THND_TONNE,5236.615,Russia
POULTRY,2028,THND_TONNE,5253.691,Russia
POULTRY,2029,THND_TONNE,5270.919,Russia
SHEEP,1990,THND_TONNE,0.0,Russia
SHEEP,1991,THND_TONNE,0.0,Russia
SHEEP,1992,THND_TONNE,348.367,Russia
SHEEP,1993,THND_TONNE,371.909,Russia
SHEEP,1994,THND_TONNE,317.324,Russia
SHEEP,1995,THND_TONNE,291.464,Russia
SHEEP,1996,THND_TONNE,238.658,Russia
SHEEP,1997,THND_TONNE,217.003,Russia
SHEEP,1998,THND_TONNE,191.276,Russia
SHEEP,1999,THND_TONNE,146.207,Russia
SHEEP,2000,THND_TONNE,142.092,Russia
SHEEP,2001,THND_TONNE,135.598,Russia
SHEEP,2002,THND_TONNE,139.443,Russia
SHEEP,2003,THND_TONNE,136.143,Russia
SHEEP,2004,THND_TONNE,145.717,Russia
SHEEP,2005,THND_TONNE,161.075,Russia
SHEEP,2006,THND_TONNE,169.768,Russia
SHEEP,2007,THND_TONNE,179.142,Russia
SHEEP,2008,THND_TONNE,205.258,Russia
SHEEP,2009,THND_TONNE,190.957,Russia
SHEEP,2010,THND_TONNE,193.377,Russia
SHEEP,2011,THND_TONNE,200.824,Russia
SHEEP,2012,THND_TONNE,199.274,Russia
