LOCATION,SUBJECT,MEASURE,TIME,Value,Percentage
WLD,PIG,THND_TONNE,1990,63493691,57.351984028441606
WLD,BEEF,THND_TONNE,1990,4800179,4.3358605399339725
WLD,SHEEP,THND_TONNE,1990,7827282,7.070153666922725
WLD,POULTRY,THND_TONNE,1990,34587644,31.242001764701694
WLD,PIG,THND_TONNE,2000,89208777,39.28216502201848
WLD,BEEF,THND_TONNE,2000,58775737,25.881289686605136
WLD,SHEEP,THND_TONNE,2000,11392468,5.016555803517683
WLD,POULTRY,THND_TONNE,2000,67720422,29.8199894878587
WLD,PIG,THND_TONNE,2010,10870186,10.971770551440029
WLD,BEEF,THND_TONNE,2010,65015786,65.62337444948292
WLD,SHEEP,THND_TONNE,2010,13169637,13.292710484416276
WLD,POULTRY,THND_TONNE,2010,10018519,10.11214451466078
WLD,PIG,THND_TONNE,2020,10627927,9.648324332919733
WLD,BEEF,THND_TONNE,2020,70881971,64.34860209000409
WLD,SHEEP,THND_TONNE,2020,15520212,14.089675163526513
WLD,POULTRY,THND_TONNE,2020,13122976,11.913398413549666
